TranscriptID	Entrez
ENSGALT00000045758	426220
ENSGALT00000008267	768548
ENSGALT00000043333	100859181
ENSGALT00000029647	425455
ENSGALT00000045367	.
ENSGALT00000045978	101747244
ENSGALT00000028378	.
ENSGALT00000042625	427887
ENSGALT00000042625	427887
ENSGALT00000042625	100859629
ENSGALT00000042625	100859629
ENSGALT00000044988	.
ENSGALT00000046225	374014
ENSGALT00000000317	420049
ENSGALT00000000407	420050
ENSGALT00000035764	.
ENSGALT00000000433	395079
ENSGALT00000000452	.
ENSGALT00000000472	420053
ENSGALT00000000510	420054
ENSGALT00000000553	428318
ENSGALT00000040211	100859497
ENSGALT00000040208	417303
ENSGALT00000040207	417304
ENSGALT00000035245	768455
ENSGALT00000045552	427787
ENSGALT00000000500	417305
ENSGALT00000040569	.
ENSGALT00000034159	101750363
ENSGALT00000000555	428319
ENSGALT00000034164	101750428
ENSGALT00000040563	.
ENSGALT00000000556	420055
ENSGALT00000000587	420056
ENSGALT00000014902	417298
ENSGALT00000001184	768487
ENSGALT00000000620	428320
ENSGALT00000043405	100859352
ENSGALT00000014852	427783
ENSGALT00000000640	396222
ENSGALT00000014829	417297
ENSGALT00000000644	373936
ENSGALT00000000671	768942
ENSGALT00000043530	.
ENSGALT00000014847	101748328
ENSGALT00000042984	.
ENSGALT00000014774	417296
ENSGALT00000044239	425644
ENSGALT00000000776	420057
ENSGALT00000043702	100857186
ENSGALT00000043798	100857231
ENSGALT00000034191	417295
ENSGALT00000044266	417306
ENSGALT00000015880	769455
ENSGALT00000015880	769455
ENSGALT00000015880	769455
ENSGALT00000015880	100857879
ENSGALT00000015880	100857879
ENSGALT00000015880	100857879
ENSGALT00000015880	100859673
ENSGALT00000015880	100859673
ENSGALT00000015880	100859673
ENSGALT00000045460	100857416
ENSGALT00000001420	768566
ENSGALT00000014746	.
ENSGALT00000014744	395797
ENSGALT00000039878	417309
ENSGALT00000034208	417294
ENSGALT00000000806	420058
ENSGALT00000001427	374069
ENSGALT00000043084	417293
ENSGALT00000040507	426955
ENSGALT00000046239	427788
ENSGALT00000044012	101750889
ENSGALT00000045918	101750889
ENSGALT00000043489	101750992
ENSGALT00000035203	420060
ENSGALT00000035204	.
ENSGALT00000000824	420061
ENSGALT00000000837	420062
ENSGALT00000000866	420063
ENSGALT00000000877	769087
ENSGALT00000041280	.
ENSGALT00000043197	427781
ENSGALT00000014712	770620
ENSGALT00000041279	768930
ENSGALT00000040488	396393
ENSGALT00000000895	420065
ENSGALT00000014677	101752216
ENSGALT00000041277	420066
ENSGALT00000035199	420066
ENSGALT00000014675	374110
ENSGALT00000040479	770691
ENSGALT00000043120	.
ENSGALT00000045014	395622
ENSGALT00000043777	.
ENSGALT00000001022	428322
ENSGALT00000014582	417289
ENSGALT00000014665	417287
ENSGALT00000014657	417286
ENSGALT00000040444	.
ENSGALT00000014630	.
ENSGALT00000040446	.
ENSGALT00000041273	.
ENSGALT00000001029	395637
ENSGALT00000045717	395637
ENSGALT00000034236	770750
ENSGALT00000001052	769076
ENSGALT00000042847	.
ENSGALT00000014614	.
ENSGALT00000014597	770795
ENSGALT00000032299	373893
ENSGALT00000042673	429451
ENSGALT00000014570	417283
ENSGALT00000014558	417282
ENSGALT00000045101	100859867
ENSGALT00000044534	417310
ENSGALT00000001057	420069
ENSGALT00000014516	374095
ENSGALT00000014522	417281
ENSGALT00000014517	427778
ENSGALT00000001087	420070
ENSGALT00000001137	420072
ENSGALT00000001424	427789
ENSGALT00000014501	417280
ENSGALT00000021830	426060
ENSGALT00000044936	417311
ENSGALT00000001477	417312
ENSGALT00000041266	420073
ENSGALT00000014472	101749800
ENSGALT00000040369	404296
ENSGALT00000043043	427790
ENSGALT00000001507	427790
ENSGALT00000001534	417313
ENSGALT00000014454	427775
ENSGALT00000043114	.
ENSGALT00000001676	417314
ENSGALT00000042748	100857635
ENSGALT00000039388	.
ENSGALT00000001728	768703
ENSGALT00000045726	100857667
ENSGALT00000043389	100857238
ENSGALT00000043389	100857238
ENSGALT00000043389	100857238
ENSGALT00000043389	100857284
ENSGALT00000043389	100857284
ENSGALT00000043389	100857284
ENSGALT00000043389	100857783
ENSGALT00000043389	100857783
ENSGALT00000043389	100857783
ENSGALT00000001736	101751367
ENSGALT00000001736	101751367
ENSGALT00000001736	101751367
ENSGALT00000001736	101749003
ENSGALT00000001736	101749003
ENSGALT00000001736	101749003
ENSGALT00000001736	101748394
ENSGALT00000001736	101748394
ENSGALT00000001736	101748394
ENSGALT00000001753	417317
ENSGALT00000034920	417317
ENSGALT00000014440	.
ENSGALT00000023397	396465
ENSGALT00000039333	100857314
ENSGALT00000039331	396389
ENSGALT00000001879	417321
ENSGALT00000043407	426515
ENSGALT00000034312	.
ENSGALT00000034313	.
ENSGALT00000014433	395110
ENSGALT00000039321	769242
ENSGALT00000001914	417322
ENSGALT00000028105	101751148
ENSGALT00000001996	427797
ENSGALT00000002016	.
ENSGALT00000040353	417275
ENSGALT00000014393	417272
ENSGALT00000002041	417324
ENSGALT00000014391	417271
